stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,wheelchair_boarding
1324,1324,1575 Patrick Henry Ebnd,408,37.2451177087496,-80.4247385516607,0,0
1325,1325,Patrick Henry/Progress Ebnd,409,37.24579898988,-80.4228449119833,0,0
1220,1220,Heather/Plymouth Sbnd,,37.2199907732004,-80.44809388805,0,0
8009,8009,Maroon Bay 9,,37.231916,-80.42403,0,0
1433,1433,Patrick Henry/Mary Jane Ebnd,Full Service Only,37.2467025117103,-80.4197585788409,0,0
1434,1434,Patrick Henry/Seneca Ebnd,,37.2469188122105,-80.4165162394354,0,0
2200,2200,Conston/Spradlin Frarm Wbnd,,37.158256,-80.423157,0,0
2227,2227,Conston/Farmview,,37.156785,-80.423658,0,0
2201,2201,Farmview/Ridinger Ebnd,,37.156465,-80.421246,0,0
8112,8112,Orange Bay 12,,37.229889,-80.426906,0,0
1221,1221,Carpenter Blvd/Redd Circle,Full Service only,37.225667,-80.447849,0,0
1339,1339,Progress/Watson Nbnd,,37.2389392399156,-80.4221019400419,0,0
1338,1338,Toms Creek/Hunt Club Sbnd,,37.2420278037803,-80.4276541130336,0,0
1330,1330,Toms Creek/McBryde Sbnd,414,37.2395400547707,-80.426954056439,0,0
1331,1331,Toms Creek/Watson Sbnd,415,37.238239183321,-80.4265959815142,0,0
1332,1332,Gilbert Linkous Sbnd,416,37.2365467093317,-80.4268118993528,0,0
